gov_name_f,gov_name_a,gov_id,Nom_du_site,Nom_monument,Dtae,Latitude,Longitude,,
Ben Arous,بن عروس,13,أوذنة,أعمدة الحنايا,07/12/1892,"36°36'12.86""N","10°10'28.43""E",,
Ben Arous,بن عروس,13,أوذنة,حمام (لابيري),08/05/1895,"36°36'21.87""N","10°10'31.48""E",,
Ben Arous,بن عروس,13,أوذنة,ملعب المصارعة الدائري,08/05/1895,"36°36'31.14""N","10°10'9.42""E",,
Ben Arous,بن عروس,13,أوذنة,منزل (لابيري),08/05/1895,"36°36'29.75""N","10°10'19.26""E",,
Ben Arous,بن عروس,13,طريق رادس الزهراء,القنطرة الآثرية على وادي مليان,15/01/2001,"36°46'0.44""N","10°17'0.04""E",,
Ben Arous,بن عروس,13,فندق الشوشة,قنطرة وادي مليان,16/11/1928,"36°44'27.81""N","10°16'30.54""E",,
Ben Arous,بن عروس,13,مدينة حمام الآنف,نزل الكازينو,01/09/2000,"36°43'58.86""N","10°20'14.55""E",,
Manubah,منوبة,14,مدينة البطان,قنطرة سد البطان,15/01/2001,"36°48'30.14""N","9°50'54.67""E",,
Manubah,منوبة,14,مدينة طبربة,زاوية سيدي بن عيسى,03/03/1915,"36°49'39.56""N","9°50'27.02""E",,
Manubah,منوبة,14,مدينة طبربة,زاوية سيدي علي عزوز,03/05/1920,"36°49'42.04""N","9°50'32.85""E",,
Manubah,منوبة,14,مدينة طبربة,مقر المكتبة العمومية,01/09/2000,"36°49'39.07""N","9°50'35.90""E",,
Manubah,منوبة,14,مدينة طبربة,ملعب المصارعة الدائري,13/03/1912,"36°49'41.57""N","9°50'32.88""E",,
Manubah,منوبة,14,مدينة منوبة,سبيل حمودة باشا,25/01/1922,"36°48'25.71""N","10° 6'2.95""E",,
Manubah,منوبة,14,مدينة منوبة,سقيفة قصر خير الدين باشا,23/06/1955,"36°48'26.18""N","10° 6'3.09""E",,
Manubah,منوبة,14,مدينة منوبة,قصر حمودة باشا,25/01/1922,"36°48'35.68""N","10° 5'37.42""E",,
Manubah,منوبة,14,مدينة منوبة,قصر قبة النحاس,25/01/1922,"36°48'35.68""N","10° 5'37.42""E",,
Manubah,منوبة,14,مدينة منوبة,قصر مراد باي  شارع 2 مارس 1934 ,31/08/1999,"36°48'26.10""N","10° 5'35.22""E",,
Manubah,منوبة,14,هنشير المساعدين,الكنيسة الأثرية,22/03/1899,"36°42'43.19""N","9°52'55.54""E",,
Manubah,منوبة,14,هنشير المساعدين,المقبرة الأثرية,22/03/1899,"36°42'43.19""N","9°52'55.54""E",,
