"Code","Nom","Adresse","Gouvernorat","Délégation"
"2303","XXX","18, AVENUE MOHAMED 5 - BOUMHEL EL BASSATINE - BEN AROUS","BEN AROUS","BOUMHEL BASSATINE"
"2373","XXX","40 AVENUE MOHAMED 5 - BOUMHEL BASSATINE","BEN AROUS","BOUMHEL BASSATINE"
"2443","XXX","AVENUE DE L'INDEPENDANCE - EL BASSATINE 2 - BOUMHEL - BEN AROUS","BEN AROUS","BOUMHEL BASSATINE"
" 211","XXX","1 ET 2 BIS AVENUE MAHDIA IMMEUBLE AFH -EL MOUROUJ","BEN AROUS","EL MOUROUJ"
" 232","XXX","AVENUE HABIB THAMEUR COMPLEXE COMMERCIAL JAMEL EL MOUROUJ","BEN AROUS","EL MOUROUJ"
" 250","XXX","CITE EL MOUROUJ 1","BEN AROUS","EL MOUROUJ"
" 254","XXX","RUE DES MARTYRS N°8 MOUROUJ I","BEN AROUS","EL MOUROUJ"
"1377","XXX","AVENUE DE LA VICTOIRE EL MOUROUJ IV EL MOUROUJ","BEN AROUS","EL MOUROUJ"
"1434","XXX","AVENUE 20 MARS LOT 1141 -EL MOUROUJ V","BEN AROUS","EL MOUROUJ"
"1464","XXX","RUE 13 AOUT N°5 -EL MOUROUJ V","BEN AROUS","EL MOUROUJ"
"1485","XXX","AVENUE DES MARTYRS - CENTRE MEDICAL MIYAR - EL MOUROUJ 3 - BEN AROUS","BEN AROUS","EL MOUROUJ"
"1503","XXX","IMMEUBLE CHALLAKH AVENUE 7 NOVEMBRE -EL MOUROUJ IV","BEN AROUS","EL MOUROUJ"
"1563","XXX","72 AVENUE EL BORHEN -EL MOUROUJ V","BEN AROUS","EL MOUROUJ"
"1687","XXX","AVENUE DES MARTYRS N°177 - CITE JARDIN - EL MOUROUJ 3","BEN AROUS","EL MOUROUJ"
"1713","XXX","48 AVENUE DE PARIS - EL MOUROUJ 4","BEN AROUS","EL MOUROUJ"
"1760","XXX","RESIDENCE IMEN N°24 - AV. DES MARTYRS - EL MOUROUJ 3","BEN AROUS","EL MOUROUJ"
"1782","XXX","RESIDENCE ALAYA RUE MONGI SLIM","BEN AROUS","EL MOUROUJ"
"1936","XXX","ANGLE DES RUES DES MARTYRS - KALAA KHESBA ET SAYADA- RESIDENCE TEJ EL MOUROUJ N B1 EL MOUROUJ 5","BEN AROUS","EL MOUROUJ"
"1954","XXX","N° 84 AVENUE DES MARTYRS -EL MOUROUJ","BEN AROUS","EL MOUROUJ"
"1919","XXX","residence el habib - av 7 novembre - el mourouj 5","BEN AROUS","EL MOUROUJ"
"1986","XXX","AVENUE 20 MARS N°101 - EL MOUROUJ 5","BEN AROUS","EL MOUROUJ"
"2021","XXX","RESIDENCE EL AHMADI 1 - EL MOUROUJ 4","BEN AROUS","EL MOUROUJ"
"2022","XXX","AVENUE EL HARAMAYN ECHARIFAYN N°47 - EL MOUROUJ 3","BEN AROUS","EL MOUROUJ"
"2082","XXX","avenue de rome n_83 el mourouj 4","BEN AROUS","EL MOUROUJ"
"2134","XXX","avenue des martyrs n_28 -citÚ jardin el mourouj 3","BEN AROUS","EL MOUROUJ"
"2172","XXX","MAGASIN N°1- REZ DE CHAUSSE DE LA RESIDENCE LES TULIPES- EL MOUROUJ 5","BEN AROUS","EL MOUROUJ"
"2463","XXX","RESIDENCE LA MUTUELLE BLOC C LOCAL COMMERCIAL CC1 ET CC2 - AVENUE JAAFER MAJED - EL MOUROUJ 6 - BEN AROUS","BEN AROUS","EL MOUROUJ"
" 206","XXX","N°61 AVENUE HABIB BOURGUIBA","BEN AROUS","EZZAHRA"
" 208","XXX","RUE EL FERDAWS N_18 - IMADAT CITE EL HABIB","BEN AROUS","EZZAHRA"
" 221","XXX","AVENUE HABIB BOURGUIBA","BEN AROUS","EZZAHRA"
" 223","XXX","EZZAHRA","BEN AROUS","EZZAHRA"
" 234","XXX","7 RUE JILANI MARCHAND","BEN AROUS","EZZAHRA"
" 235","XXX","1 AVENUE TAIEB MHIRI CITE EL ONS","BEN AROUS","EZZAHRA"
" 256","XXX","CITE COMMERCIALE EL HABIB BOULEVARD TAIEB MHIRI","BEN AROUS","EZZAHRA"
"1215","XXX","105 avenue habib bourguyiba","BEN AROUS","EZZAHRA"
"2011","XXX","AVENUE DE L'ENVIRONNEMENT N°19","BEN AROUS","EZZAHRA"
"2408","XXX","13 AVENUE 14 JANVIER - IMM. DIAMANT MEDICAL - EZZAHRA- BEN AROUS","BEN AROUS","EZZAHRA"
" 197","XXX","6 AVENUE HABIB BOURGUIBA FOUCHANA","BEN AROUS","FOUCHANA"
" 214","XXX","93 AVENUE DE L'INDEPENDANCE CITE LA VICTOIRE FOUCHANA","BEN AROUS","FOUCHANA"
" 219","XXX","ROUTE ZAGHOUAN FOUCHANA","BEN AROUS","FOUCHANA"
" 241","XXX","AVENUE 7 NOVEMBRE N° 6 NAASSEN","BEN AROUS","FOUCHANA"
" 257","XXX","AVENUE DE L'INDEPENDANCE","BEN AROUS","FOUCHANA"
" 265","XXX","AVENUE 7 NOVEMBRE FOUCHANA","BEN AROUS","FOUCHANA"
" 272","XXX","45,RUE DE CARTHAGE CITE EL MOUSTAKBAL FOUCHANA","BEN AROUS","FOUCHANA"
"1470","XXX","ANGLE DE LA ROUTE NATIONALE GP2 ET LA ROUTE DONNANT ACCES A LA CITE MGHIRA","BEN AROUS","FOUCHANA"
"1506","XXX","AVENUE 7 NOVEMBRE  PRES MOSQUE EL GHOFRAN NAASSEN","BEN AROUS","FOUCHANA"
"1677","XXX","AV. 7 NOVEMBRE N°4 CENTRE COMMERCIAL","BEN AROUS","FOUCHANA"
"1907","XXX","RUE SALAH BEN YOUSSEF N°4 - CITE ERRIADH","BEN AROUS","FOUCHANA"
"2048","XXX","AVENUE DE L'INDEPENDANCE","BEN AROUS","FOUCHANA"
"2107","XXX","imadat chbidda - orute de naassen","BEN AROUS","FOUCHANA"
"2392","XXX","14 AVENUE DE LA LIBERTE - CITE EL FATTAH SUR LA ROUTE GP3 - FOUCHANA - BEN AROUS","BEN AROUS","FOUCHANA"
"2469","XXX","41 RUE JELMA RESIDENCE FATEN - CITE EL MESK - FOUCHANA","BEN AROUS","FOUCHANA"
" 237","XXX","118 AVENUE 14 JANVIER","BEN AROUS","HAMMAM CHATT"
" 252","XXX","AVENUE ESSALAM No 21 HAMMAM CHATT","BEN AROUS","HAMMAM CHATT"
"1486","XXX","PLACE 7 NOVEMBRE-IMMEUBLE IMEN N°2","BEN AROUS","HAMMAM CHATT"
"2388","XXX","10 AVENUE DE LA LIBERTE - HAMMAM CHATT - BEN AROUS","BEN AROUS","HAMMAM CHATT"
"2451","XXX","14 AVENUA 01 OCTOBRE 1985 HAMMAM CHATT BEN AROUS","BEN AROUS","HAMMAM CHATT"
" 190","XXX","67 AVENUE DE LA REPUBLIQUE HAMMAM LIF","BEN AROUS","HAMMAM LIF"
" 194","XXX","53 RUE CHARLES NICOLE HAMMAM LIF","BEN AROUS","HAMMAM LIF"
" 195","XXX","9 AVENUE TAIEB MHIRI HAMMAM LIF","BEN AROUS","HAMMAM LIF"
" 203","XXX","5 AVENUE HABIB BOURGUIBA HAMMAM LIF","BEN AROUS","HAMMAM LIF"
" 207","XXX","69 BOULEVARD SALAMBO","BEN AROUS","HAMMAM LIF"
" 218","XXX","RUE D'ALGER N°21 - HAMMAM LIF BEN AROUS","BEN AROUS","HAMMAM LIF"
" 224","XXX","186 AVENUE DE LA REPUBLIQUE HAMMAM LIF","BEN AROUS","HAMMAM LIF"
" 230","XXX","N°22 RUE 20 MARS 1956","BEN AROUS","HAMMAM LIF"
" 242","XXX","96 AVENUE TAIEB MHIRI","BEN AROUS","HAMMAM LIF"
" 243","XXX","AVENUE HABIB BOURGUIBA N°31","BEN AROUS","HAMMAM LIF"
" 247","XXX","76 BOULEVARD MOUFIDA BOURGUIBA","BEN AROUS","HAMMAM LIF"
" 255","XXX","ANGLE RUE BOUKORNINE ET BOULEVARD MEDITERRANEE","BEN AROUS","HAMMAM LIF"
" 264","XXX","32 AVENUE CHARLES NICOLES - HAMMAM LIF","BEN AROUS","HAMMAM LIF"
" 205","XXX","15 AVENUE DE LA LIBERTE - MHAMDIA - BEN AROUS","BEN AROUS","M'HAMDIA"
" 229","XXX","AVENUE 7 NOVEMBRE","BEN AROUS","M'HAMDIA"
" 258","XXX","AVENUE ALI BELHAOUAN","BEN AROUS","M'HAMDIA"
" 260","XXX","AVENUE 7 NOVEMBRE","BEN AROUS","M'HAMDIA"
" 271","XXX","AVENUE 7 NOVEMBRE N°1 CITE ENNOZHA","BEN AROUS","M'HAMDIA"
"1369","XXX","AVENUE HABIB BOURGUIBA M'HAMDIA","BEN AROUS","M'HAMDIA"
"1465","XXX","AVENUE DE LA LIBERTE DEVANT LA ZONE DE LA GARDE NATIONALE- MHAMDIA
","BEN AROUS","M'HAMDIA"
"1499","XXX","5,AVENUE 7 NOVEMBRE LOT EL BACCOUCH- CITE ESSAADA","BEN AROUS","M'HAMDIA"
"2181","XXX","AVENUE DE LA LIBERTE N°56 - CITE NAZZAHA","BEN AROUS","M'HAMDIA"
"2347","XXX","78 AVENUE DE LA LIBERTE MHAMDIA BEN AROUS","BEN AROUS","M'HAMDIA"
" 200","XXX","ROUTE DE MORNAG KM 7 CITE YASMINET MEDINA JEDIDA","BEN AROUS","MEDINA JEDIDA"
" 204","XXX","AVENUE FAYCAL IBN ABDELAZIZ BEN HARBI MOUFIDA","BEN AROUS","MEDINA JEDIDA"
" 215","XXX","RUE MOHAMED ZAGHBANI MEDINA JADIDA","BEN AROUS","MEDINA JEDIDA"
" 246","XXX","rue d'alger n°2 - MEDINA JADIDA","BEN AROUS","MEDINA JEDIDA"
" 269","XXX","ROUTE DE MORNAG KM 8 EL YASMINET MEDINA JEDIDA","BEN AROUS","MEDINA JEDIDA"
