ligne ;horaires (du Lundi à samedi);Sens ;horaires (Dimanche);sens ;saison;;;;;;;;
84;07:20;retour;;;hiver;;;;;;;;
84;08:10;retour;;;hiver;;;;;;;;
84;14:00;retour;;;hiver;;;;;;;;
84;15:00;retour;;;hiver;;;;;;;;
84;16:00;retour;;;hiver;;;;;;;;
84;16:50;retour;;;hiver;;;;;;;;
85(Sealatelec Termenus85 vers Termenus85);06:20;aller;;;hiver;;;;;;;;
85;07:40;aller;;;hiver;;;;;;;;
85;16:00;aller;;;hiver;;;;;;;;
85;17:20;aller;;;hiver;;;;;;;;
85;05:40;retour;;;hiver;;;;;;;;
85;07:00;retour;;;hiver;;;;;;;;
85;15:20;retour;;;hiver;;;;;;;;
85;16:40;retour;;;hiver;;;;;;;;
85;18:10;retour;;;hiver;;;;;;;;
86(Zone Industrielle M'ghira vers  Cité Chaker);05:40;aller;;;hiver;;;;;;;;
86;06:50;aller;;;hiver;;;;;;;;
86;07:40;aller;;;hiver;;;;;;;;
86;14:10;aller;;;hiver;;;;;;;;
86;15:00;aller;;;hiver;;;;;;;;
86;16:00;aller;;;hiver;;;;;;;;
86;16:50;aller;;;hiver;;;;;;;;
86;21:30;aller;;;hiver;;;;;;;;
86;22:35;aller;;;hiver;;;;;;;;
86;06:10;retour;;;hiver;;;;;;;;
86;07:20;retour;;;hiver;;;;;;;;
86;07:55;retour;;;hiver;;;;;;;;
86;14:40;retour;;;hiver;;;;;;;;
86;15:20;retour;;;hiver;;;;;;;;
86;16:30;retour;;;hiver;;;;;;;;
86;17:10;retour;;;hiver;;;;;;;;
86;22:10;retour;;;hiver;;;;;;;;
86;23:00;retour;;;hiver;;;;;;;;
410B(Marché de Gros vers Manouba);05:40;aller;05:30;aller;hiver;;;;;;;;
410B;06:40;aller;06:20;aller;hiver;;;;;;;;
410B;07:40;aller;07:50;aller;hiver;;;;;;;;
410B;08:40;aller;08:40;aller;hiver;;;;;;;;
410B;09:40;aller;10:10;aller;hiver;;;;;;;;
410B;10:40;aller;11:00;aller;hiver;;;;;;;;
410B;11:40;aller;12:30;aller;hiver;;;;;;;;
410B;13:40;aller;13:20;aller;hiver;;;;;;;;
410B;14:40;aller;14:50;aller;hiver;;;;;;;;
410B;15:40;aller;15:40;aller;hiver;;;;;;;;
410B;16:40;aller;17:10;aller;hiver;;;;;;;;
410B;17:40;aller;18:00;aller;hiver;;;;;;;;
410B;18:40;aller;04:20;retour;hiver;;;;;;;;
410B;19:40;aller;05:20;retour;hiver;;;;;;;;
410B;04:10;retour;06:40;retour;hiver;;;;;;;;
410B;05:10;retour;07:30;retour;hiver;;;;;;;;
410B;06:10;retour;09:00;retour;hiver;;;;;;;;
410B;07:10;retour;09:50;retour;hiver;;;;;;;;
410B;08:10;retour;11:20;retour;hiver;;;;;;;;
410B;09:10;retour;12:10;retour;hiver;;;;;;;;
410B;10:10;retour;13:40;retour;hiver;;;;;;;;
410B;12:10;retour;14:30;retour;hiver;;;;;;;;
410B;13:10;retour;16:00;retour;hiver;;;;;;;;
410B;14:10;retour;;;hiver;;;;;;;;
410B;15:10;retour;;;hiver;;;;;;;;
410B;16:10;retour;;;hiver;;;;;;;;
410B;17:10;retour;;;hiver;;;;;;;;
410B;18:10;retour;;;hiver;;;;;;;;
714( Barcelone vers Cité Olympique Rades);06:30;aller;09:10;aller;hiver;;;;;;;;
714;07:00;aller;10:20;aller;hiver;;;;;;;;
714;07:50;aller;11:30;aller;hiver;;;;;;;;
714;08:30;aller;12:40;aller;hiver;;;;;;;;
714;09:10;aller;13:50;aller;hiver;;;;;;;;
714;09:50;aller;15:00;aller;hiver;;;;;;;;
714;10:30;aller;16:10;aller;hiver;;;;;;;;
714;11:10;aller;17:20;aller;hiver;;;;;;;;
714;11:50;aller;18:30;aller;hiver;;;;;;;;
714;12:30;aller;19:40;aller;hiver;;;;;;;;
714;13:10;aller;08:35;retour;hiver;;;;;;;;
714;13:50;aller;09:45;retour;hiver;;;;;;;;
714;14:30;aller;10:55;retour;hiver;;;;;;;;
714;15:10;aller;12:05;retour;hiver;;;;;;;;
714;15:50;aller;13:15;retour;hiver;;;;;;;;
714;16:30;aller;14:25;retour;hiver;;;;;;;;
714;17:10;aller;15:40;retour;hiver;;;;;;;;
714;17:50;aller;16:50;retour;hiver;;;;;;;;
714;18:30;aller;18:10;retour;hiver;;;;;;;;
714;19:10;aller;19:30;retour;hiver;;;;;;;;
714;20:30;aller;;;hiver;;;;;;;;
714;05:50;retour;;;hiver;;;;;;;;
714;06:30;retour;;;hiver;;;;;;;;
714;07:00;retour;;;hiver;;;;;;;;
714;07:30;retour;;;hiver;;;;;;;;
714;08:30;retour;;;hiver;;;;;;;;
714;09:10;retour;;;hiver;;;;;;;;
714;09:50;retour;;;hiver;;;;;;;;
714;10:30;retour;;;hiver;;;;;;;;
714;11:10;retour;;;hiver;;;;;;;;
714;11:50;retour;;;hiver;;;;;;;;
714;12:30;retour;;;hiver;;;;;;;;
714;13:10;retour;;;hiver;;;;;;;;
714;13:50;retour;;;hiver;;;;;;;;
714;14:30;retour;;;hiver;;;;;;;;
714;15:10;retour;;;hiver;;;;;;;;
714;15:50;retour;;;hiver;;;;;;;;
714;16:30;retour;;;hiver;;;;;;;;
714;17:10;retour;;;hiver;;;;;;;;
714;17:50;retour;;;hiver;;;;;;;;
714;18:30;retour;;;hiver;;;;;;;;
714;19:50;retour;;;hiver;;;;;;;;
3710(Marché de Gros vers Terminus Borj Cedria);04:30;aller;04:30;aller;hiver;;;;;;;;
3710;05:00;aller;05:30;aller;hiver;;;;;;;;
3710;05:30;aller;06:05;aller;hiver;;;;;;;;
3710;06:00;aller;06:45;aller;hiver;;;;;;;;
3710;06:25;aller;07:20;aller;hiver;;;;;;;;
3710;06:45;aller;08:00;aller;hiver;;;;;;;;
3710;07:10;aller;08:35;aller;hiver;;;;;;;;
3710;07:30;aller;09:15;aller;hiver;;;;;;;;
3710;07:55;aller;09:50;aller;hiver;;;;;;;;
3710;08:15;aller;10:30;aller;hiver;;;;;;;;
3710;08:40;aller;11:05;aller;hiver;;;;;;;;
3710;09:00;aller;11:45;aller;hiver;;;;;;;;
3710;09:25;aller;12:20;aller;hiver;;;;;;;;
3710;09:45;aller;13:00;aller;hiver;;;;;;;;
3710;10:10;aller;13:35;aller;hiver;;;;;;;;
3710;10:30;aller;14:15;aller;hiver;;;;;;;;
3710;10:55;aller;14:50;aller;hiver;;;;;;;;
3710;11:15;aller;15:30;aller;hiver;;;;;;;;
3710;11:40;aller;16:05;aller;hiver;;;;;;;;
3710;12:00;aller;16:45;aller;hiver;;;;;;;;
3710;12:25;aller;17:20;aller;hiver;;;;;;;;
3710;12:45;aller;18:00;aller;hiver;;;;;;;;
3710;13:10;aller;18:35;aller;hiver;;;;;;;;
3710;13:30;aller;19:15;aller;hiver;;;;;;;;
3710;13:55;aller;19:50;aller;hiver;;;;;;;;
3710;14:15;aller;20:30;aller;hiver;;;;;;;;
3710;14:40;aller;21:30;aller;hiver;;;;;;;;
3710;15:00;aller;22:15;aller;hiver;;;;;;;;
3710;15:30;aller;22:45;aller;hiver;;;;;;;;
3710;16:00;aller;23:20;aller;hiver;;;;;;;;
3710;16:20;aller;05:30;retour;hiver;;;;;;;;
3710;16:45;aller;06:05;retour;hiver;;;;;;;;
3710;17:10;aller;06:45;retour;hiver;;;;;;;;
3710;17:30;aller;07:20;retour;hiver;;;;;;;;
3710;18:00;aller;08:00;retour;hiver;;;;;;;;
3710;18:30;aller;08:35;retour;hiver;;;;;;;;
3710;19:00;aller;09:15;retour;hiver;;;;;;;;
3710;19:30;aller;09:50;retour;hiver;;;;;;;;
3710;20:00;aller;10:30;retour;hiver;;;;;;;;
3710;20:30;aller;11:05;retour;hiver;;;;;;;;
3710;21:00;aller;11:45;retour;hiver;;;;;;;;
3710;21:30;aller;12:20;retour;hiver;;;;;;;;
3710;22:05;aller;13:00;retour;hiver;;;;;;;;
3710;04:30;retour;13:35;retour;hiver;;;;;;;;
3710;04:55;retour;14:15;retour;hiver;;;;;;;;
3710;05:15;retour;14:50;retour;hiver;;;;;;;;
3710;05:40;retour;15:30;retour;hiver;;;;;;;;
3710;06:00;retour;16:05;retour;hiver;;;;;;;;
3710;06:25;retour;16:45;retour;hiver;;;;;;;;
3710;06:45;retour;17:20;retour;hiver;;;;;;;;
3710;07:10;retour;18:00;retour;hiver;;;;;;;;
3710;07:30;retour;18:45;retour;hiver;;;;;;;;
3710;07:55;retour;19:15;retour;hiver;;;;;;;;
3710;08:15;retour;20:30;retour;hiver;;;;;;;;
3710;08:40;retour;21:00;retour;hiver;;;;;;;;
3710;09:00;retour;21:30;retour;hiver;;;;;;;;
3710;09:25;retour;22:20;retour;hiver;;;;;;;;
3710;09:45;retour;;;hiver;;;;;;;;
3710;10:10;retour;;;hiver;;;;;;;;
3710;10:30;retour;;;hiver;;;;;;;;
3710;10:55;retour;;;hiver;;;;;;;;
3710;11:15;retour;;;hiver;;;;;;;;
3710;11:40;retour;;;hiver;;;;;;;;
3710;12:00;retour;;;hiver;;;;;;;;
3710;12:25;retour;;;hiver;;;;;;;;
3710;12:45;retour;;;hiver;;;;;;;;
3710;13:10;retour;;;hiver;;;;;;;;
3710;13:30;retour;;;hiver;;;;;;;;
3710;13:55;retour;;;hiver;;;;;;;;
3710;14:15;retour;;;hiver;;;;;;;;
3710;14:40;retour;;;hiver;;;;;;;;
3710;15:00;retour;;;hiver;;;;;;;;
3710;15:30;retour;;;hiver;;;;;;;;
3710;16:00;retour;;;hiver;;;;;;;;
3710;16:30;retour;;;hiver;;;;;;;;
3710;17:00;retour;;;hiver;;;;;;;;
3710;17:30;retour;;;hiver;;;;;;;;
3710;18:00;retour;;;hiver;;;;;;;;
3710;18:30;retour;;;hiver;;;;;;;;
3710;19:00;retour;;;hiver;;;;;;;;
3710;19:30;retour;;;hiver;;;;;;;;
3710;20:00;retour;;;hiver;;;;;;;;
3710;20:30;retour;;;hiver;;;;;;;;
3710;21:00;retour;;;hiver;;;;;;;;
3710;21:30;retour;;;hiver;;;;;;;;
3710;22:05;retour;;;hiver;;;;;;;;
