Endroit,Nom_artiste,Titre,Type_d_exposition,Type_de_galerie,Prix,Prix_Total
متحف مدينة سوسة,توفيق فرجاوي,.tn,جماعي,عمومي,5000,6500
,مهى الشطي,Haragua,جماعي,عمومي,1500,
المركب الثقافي تطاوين ,زيد عسل ,meta folie,جماعي,عمومي,3000,13800
,محمودغرب,زوايا,جماعي,عمومي,2500,
,محمد الهنتاش,انعكاس,جماعي,عمومي,2300,
,ضحى فريطيس,الخرج و الحرج اثر الشكل و تاثير الالوان ,جماعي,عمومي,3000,
,هاجر التريكي,جسد في عمق بحر الالوان,جماعي,عمومي,2000,
,عبد الله التونكتي ,جولة مسائية بشنني تطاوين ,جماعي,عمومي,1000,
رواق ناسيمو سامو ,سعد المهزرس ,regard autour de toi ,جماعي,خاص,2500,2500
قصر المؤتمرات صفاقس ,صفوان علولو,مناخات مادوية 3,جماعي,عمومي,3800,72800
,نجوى عبد الكافي ,اقتفاء 1,جماعي,عمومي,2400,
,نجوى عبد المقصود ,ساكنة الهوى ,جماعي,عمومي,6300,
,منال علولو,enchevement ,جماعي,عمومي,2500,
,عبد العزيز الحصايري ,evasion ,جماعي,عمومي,2500,
,ألفة قلديش ,بدون عنوان,جماعي,عمومي,2000,
,ألفة العفاس ,بدون عنوان 2,جماعي,عمومي,4000,
,عبد اللطيف حشيشة ,انبثاق 2,جماعي,عمومي,4800,
,هندة بو حامد,entre les ponts,جماعي,عمومي,4000,
,أحمد قطاطة ,بدون عنوان ,جماعي,عمومي,2800,
,هيفاء عبد الهادي ,ايقونات ,جماعي,عمومي,5000,
,حاتم الميلادي ,حرقة ,جماعي,عمومي,3500,
,هدى الخراط ,le gladiateur ,جماعي,عمومي,3000,
,بلحسن كشو ,عبير الامل ,جماعي,عمومي,4000,
,مراد الحرباوي ,tempete ,جماعي,عمومي,10000,
,سلوى العايدي ,تاملات شاردة ,جماعي,عمومي,5200,
,أحلام بو صندل ,femme en œuvre ,جماعي,عمومي,7000,
دار الثقافة باب بحر صفاقس ,كريم بن شيخة ,get lost,فردي,عمومي,1300,1300
رواق برج قلال صفاقس ,هالة اللوز مقديش ,fusion ,جماعي,عمومي,500,11000
,سمية الحمداني ,وحدات متناغمة ,جماعي,عمومي,400,
,لبنى عبد المولى بقلوطي ,constellation1,جماعي,عمومي,5600,
,محمد فتحي بوزيدة ,les rouds-carnets,فردي,عمومي,4500,
المعهد العالي للفنون و الحرف صفاقس ,وسام الفقى,5éme mur ,جماعي,عمومي,2500,19100
,كريم عبد المولى ,ouverture en fondu ,جماعي,عمومي,2400,
,حنان غرسلة ,mythologie ,جماعي,عمومي,1700,
,حلمي الجريبي ,trans-figuration,جماعي,عمومي,2000,
,حسان بن معلم ,clé de grand-pére ,جماعي,عمومي,3000,
,منجي والي ,la divine ,جماعي,عمومي,2500,
,محمد نجيب بو صباح ,le bureaucrate ,فردي,عمومي,5000,
المعهد العالي للفنون و الحرف قابس ,الصادق الطويل ,جدار الصمت 2019,فردي,عمومي,1800,11250
,أمينة بن منصور ,sans titre,جماعي,عمومي,800,
,على الجليطي ,perspective ornemental ,جماعي,عمومي,800,
,ريم الصنهوري,elévation spiriturelle,جماعي,عمومي,1000,
,عبد الكريم كريم ,la famille bouchkara,جماعي,عمومي,3000,
,حمدي زرود ,المجهول 1,جماعي,عمومي,1150,
,صفاء معتوق ,méduse1,جماعي,عمومي,1500,
,كوثر ونّاس ,"je cherche ,je trouve, je compose",جماعي,عمومي,1200,
رواق المدينة للمعارض ,عز الدين البراري ,le cordonnier ,فردي,عمومي,1500,1500
رواق اركوم ,عثمان طالب ,portraint 1,جماعي,خاص,3500,24200
,محمد غسان ,adam ll,جماعي,خاص,9000,
,رشيدة عمارة ,la charge ,جماعي,خاص,8000,
,ميشال جيلبرتي ,la mobilette ,جماعي,خاص,3700,
رواق عين ,بديع شوشان ,"l'éspoire de ,,,",فردي,خاص,6000,28450
,محمد العايب ,chut ,جماعي,خاص,4000,
,راشد شتيوي,sublimation 3,جماعي,خاص,1600,
,حبيب السعيدي ,Adolescence ,جماعي,خاص,4000,
,كمال العقربي ,fasquya ,جماعي,خاص,1500,
,قيس بن فرحات ,solitude ,جماعي,خاص,450,
