Gouvernorats;NB;Localisation;Spécialité;"Date de Création"
Kairouan;191;"Haheb laayoun";"Salle d'entrainement des sports individuels";2009
Kairouan;196;"Salle Nasr allah";"Jeux individuels";2018
Kasserine;199;Kasserine;"Salle wrestling";2006
"Sidi Bouzid";202;"Sidi bouzid";"Multi displine";1990
"Sidi Bouzid";203;"El meknesi";"Sports Collectifs";1997
"Sidi Bouzid";207;"salle de Sport indiv";"Jeux individuels";2017
Gabès;210;"cité Zrik et el amel";"Sports défensifs";2012
Gabès;215;"salle de sport individuelle  à mereth";"jeux individuels";2017
Mednine;218;"maison de jeunes à mednine";"Salle de Gido";2002
Mednine;223;"Salle de sport collective à jerjise";"Multi displine";2016
Tataouine;226;"Salle de sport individuelle à Remeda";"Jeux individuels";2014
"Sous Total (Gafsa)";;2;;
Tozeur;233;Dguech;"salle des jeux individuels";2017
Kbèli;236;Douz;"salle des jeux individuels";2017
"Sous Total (Kbèli)";;3;;
